price,mileage,power,make_model,date,fuel,gear,offer_type
15500,7221,77.0,Moto Guzzi 850 Le Mans,06/1983,Gasoline,Manual,Used
12500,14772,179.0,KTM 1290 Super Duke R,02/2017,Gasoline,Manual,Used
10200,5000,163.0,Harley-Davidson Sportster 1200,05/2009,Gasoline,Manual,Used
10950,35835,98.0,Honda F 6 C,02/1998,Gasoline,Manual,Used
1600,800,4.0,Piaggio Liberty 50,03/2021,Gasoline,Manual,Used
11900,112,48.0,Yamaha,03/2021,Gasoline,Automatic,Used
14500,10820,107.0,BMW K 1600 GT,07/2013,Gasoline,Manual,Used
890,14500,11.0,Kymco Agility 200,01/2011,Gasoline,Manual,Used
12699,22000,106.0,Triumph Rocket III Touring,08/2014,Gasoline,Manual,Used
14500,16000,160.0,KTM 1290 Super Adventure,05/2020,Gasoline,Manual,Used
700,712,122.0,Peugeot Speedfight,02/2018,Gasoline,Manual,Used
1450,5926,1.0,Kymco,01/2018,Gasoline,Manual,Used
7658,0,206.15759843345688,Honda CMX 500,01/2021,Gasoline,Manual,New
7100,22000,129.0,MV Agusta F4 750,01/2001,Gasoline,Manual,Used
10445,21300,206.15759843345688,BMW R nineT,04/2015,Gasoline,Manual,Used
7500,5000,349.0,Piaggio MP3 350,07/2018,Gasoline,Manual,Used
17500,70,129.0,Triumph Daytona 675,01/2020,Gasoline,Manual,Used
10990,3800,206.15759843345688,Suzuki Katana 1000,05/2019,Gasoline,Manual,Used
9990,14236,206.15759843345688,Others,07/2019,Gasoline,Manual,Used
10690,10100,145.0,Ducati Monster 1200,03/2015,Gasoline,Manual,Used
11890,29860,206.15759843345688,Yamaha FJR 1300,10/2014,Gasoline,Manual,Used
16500,10500,205.0,Yamaha YZF-R1,05/2015,Gasoline,Manual,Used
7900,38000,150.0,Kawasaki Z1000 SX,05/2012,Gasoline,Manual,Used
1050,3856,1.0,Nova Motors,06/2019,Electric,Automatic,Used
7499,8101,63.0,Quadix Buggy 1100,07/2016,Gasoline,Manual,Used
7000,57065,49.0,Moto Guzzi V 7,06/1972,Gasoline,Manual,Used
3419,500,12.0,Kymco X-Town,03/2021,Gasoline,Automatic,Demonstration
5490,586,16.0,Fantic 250E,10/2019,Gasoline,Manual,Used
6500,52000,48.0,Yamaha TMAX 530,07/2013,Gasoline,Manual,Used
6000,22851,27.0,Yamaha,09/1978,Gasoline,Manual,Used
13689,13751,125.0,BMW R 1200 GS LC,08/2013,Gasoline,Manual,Used
14500,23250,158.0,Ducati Multistrada 1260,05/2018,Gasoline,Manual,Used
7500,23000,95.0,Triumph Bonneville T100,10/2013,Gasoline,Manual,Used
17995,1821,206.15759843345688,Kawasaki,01/2021,Gasoline,Manual,Used
